Series ID,Year,Period,Label,Value,1-Month % Change,3-Month % Change,6-Month % Change,12-Month % Change
APU0000708111,2016,M01,2016 Jan,2.328,-15.4,-17.1,-9.4,10.2
APU0000708111,2016,M02,2016 Feb,2.267,-2.6,-14.9,-23,8.6
APU0000708111,2016,M03,2016 Mar,2.081,-8.2,-24.4,-29.8,-2.4
APU0000708111,2016,M04,2016 Apr,1.793,-13.8,-23,-36.1,-13.2
APU0000708111,2016,M05,2016 May,1.684,-6.1,-25.7,-36.8,-14.2
APU0000708111,2016,M06,2016 Jun,1.491,-11.5,-28.4,-45.8,-42
APU0000708111,2016,M07,2016 Jul,1.546,3.7,-13.8,-33.6,-39.8
APU0000708111,2016,M08,2016 Aug,1.455,-5.9,-13.6,-35.8,-50.6
APU0000708111,2016,M09,2016 Sep,1.471,1.1,-1.3,-29.3,-50.4
APU0000708111,2016,M10,2016 Oct,1.39,-5.5,-10.1,-22.5,-50.5
APU0000708111,2016,M11,2016 Nov,1.321,-5,-9.2,-21.6,-50.4
APU0000708111,2016,M12,2016 Dec,1.383,4.7,-6,-7.2,-49.7
APU0000708111,2017,M01,2017 Jan,1.599,15.6,15,3.4,-31.3
APU0000708111,2017,M02,2017 Feb,1.464,-8.4,10.8,0.6,-35.4
APU0000708111,2017,M03,2017 Mar,1.404,-4.1,1.5,-4.6,-32.5
APU0000708111,2017,M04,2017 Apr,1.409,0.4,-11.9,1.4,-21.4
APU0000708111,2017,M05,2017 May,1.414,0.4,-3.4,7,-16
APU0000708111,2017,M06,2017 Jun,1.332,-5.8,-5.1,-3.7,-10.7
APU0000708111,2017,M07,2017 Jul,1.333,0.1,-5.4,-16.6,-13.8
APU0000708111,2017,M08,2017 Aug,1.367,2.6,-3.3,-6.6,-6
APU0000708111,2017,M09,2017 Sep,1.422,4,6.8,1.3,-3.3
APU0000708111,2017,M10,2017 Oct,1.54,8.3,15.5,9.3,10.8
APU0000708111,2017,M11,2017 Nov,1.506,-2.2,10.2,6.5,14
APU0000708111,2017,M12,2017 Dec,1.815,20.5,27.6,36.3,31.2
APU0000708111,2018,M01,2018 Jan,1.769,-2.5,14.9,32.7,10.6
APU0000708111,2018,M02,2018 Feb,1.755,-0.8,16.5,28.4,19.9
APU0000708111,2018,M03,2018 Mar,1.831,4.3,0.9,28.8,30.4
APU0000708111,2018,M04,2018 Apr,2.081,13.7,17.6,35.1,47.7
APU0000708111,2018,M05,2018 May,1.987,-4.5,13.2,31.9,40.5
APU0000708111,2018,M06,2018 Jun,1.628,-18.1,-11.1,-10.3,22.2
APU0000708111,2018,M07,2018 Jul,1.725,6,-17.1,-2.5,29.4
APU0000708111,2018,M08,2018 Aug,1.622,-6,-18.4,-7.6,18.7
APU0000708111,2018,M09,2018 Sep,1.651,1.8,1.4,-9.8,16.1
APU0000708111,2018,M10,2018 Oct,1.66,0.5,-3.8,-20.2,7.8
APU0000708111,2018,M11,2018 Nov,1.596,-3.9,-1.6,-19.7,6
APU0000708111,2018,M12,2018 Dec,1.595,-0.1,-3.4,-2,-12.1
APU0000708111,2019,M01,2019 Jan,1.554,-2.6,-6.4,-9.9,-12.2
APU0000708111,2019,M02,2019 Feb,1.557,0.2,-2.4,-4,-11.3
APU0000708111,2019,M03,2019 Mar,1.544,-0.8,-3.2,-6.5,-15.7
APU0000708111,2019,M04,2019 Apr,1.463,-5.2,-5.9,-11.9,-29.7
APU0000708111,2019,M05,2019 May,1.362,-6.9,-12.5,-14.7,-31.5
APU0000708111,2019,M06,2019 Jun,1.203,-11.7,-22.1,-24.6,-26.1
APU0000708111,2019,M07,2019 Jul,1.243,3.3,-15,-20,-27.9
APU0000708111,2019,M08,2019 Aug,1.219,-1.9,-10.5,-21.7,-24.8
APU0000708111,2019,M09,2019 Sep,1.383,13.5,15,-10.4,-16.2
APU0000708111,2019,M10,2019 Oct,1.282,-7.3,3.1,-12.4,-22.8
APU0000708111,2019,M11,2019 Nov,1.405,9.6,15.3,3.2,-12
APU0000708111,2019,M12,2019 Dec,1.535,9.3,11,27.6,-3.8
APU0000708111,2020,M01,2020 Jan,1.461,-4.8,14,17.5,-6
APU0000708111,2020,M02,2020 Feb,1.449,-0.8,3.1,18.9,-6.9
APU0000708111,2020,M03,2020 Mar,1.525,5.2,-0.7,10.3,-1.2
APU0000708111,2020,M04,2020 Apr,2.019,32.4,38.2,57.5,38
APU0000708111,2020,M05,2020 May,1.64,-18.8,13.2,16.7,20.4
APU0000708111,2020,M06,2020 Jun,1.554,-5.2,1.9,1.2,29.2
APU0000708111,2020,M07,2020 Jul,1.401,-9.8,-30.6,-4.1,12.7
APU0000708111,2020,M08,2020 Aug,1.328,-5.2,-19,-8.4,8.9
APU0000708111,2020,M09,2020 Sep,1.353,1.9,-12.9,-11.3,-2.2
APU0000708111,2020,M10,2020 Oct,1.408,4.1,0.5,-30.3,9.8
APU0000708111,2020,M11,2020 Nov,1.45,3,9.2,-11.6,3.2
APU0000708111,2020,M12,2020 Dec,1.481,2.1,9.5,-4.7,-3.5
APU0000708111,2021,M01,2021 Jan,1.466,-1,4.1,4.6,0.3
APU0000708111,2021,M02,2021 Feb,1.597,8.9,10.1,20.3,10.2
APU0000708111,2021,M03,2021 Mar,1.625,1.8,9.7,20.1,6.6
APU0000708111,2021,M04,2021 Apr,1.62,-0.3,10.5,15.1,-19.8
APU0000708111,2021,M05,2021 May,1.625,0.3,1.8,12.1,-0.9
APU0000708111,2021,M06,2021 Jun,1.642,1,1,10.9,5.7
APU0000708111,2021,M07,2021 Jul,1.642,0,1.4,12,17.2
APU0000708111,2021,M08,2021 Aug,1.709,4.1,5.2,7,28.7
APU0000708111,2021,M09,2021 Sep,1.835,7.4,11.8,12.9,35.6
APU0000708111,2021,M10,2021 Oct,1.821,-0.8,10.9,12.4,29.3
APU0000708111,2021,M11,2021 Nov,1.718,-5.7,0.5,5.7,18.5
APU0000708111,2021,M12,2021 Dec,1.788,4.1,-2.6,8.9,20.7
APU0000708111,2022,M01,2022 Jan,1.929,7.9,5.9,17.5,31.6
APU0000708111,2022,M02,2022 Feb,2.005,3.9,16.7,17.3,25.5
APU0000708111,2022,M03,2022 Mar,2.046,2,14.4,11.5,25.9
APU0000708111,2022,M04,2022 Apr,2.52,23.2,30.6,38.4,55.6
APU0000708111,2022,M05,2022 May,2.863,13.6,42.8,66.6,76.2
APU0000708111,2022,M06,2022 Jun,2.707,-5.4,32.3,51.4,64.9
APU0000708111,2022,M07,2022 Jul,2.936,8.5,16.5,52.2,78.8
APU0000708111,2022,M08,2022 Aug,3.116,6.1,8.8,55.4,82.3
APU0000708111,2022,M09,2022 Sep,2.902,-6.9,7.2,41.8,58.1
APU0000708111,2022,M10,2022 Oct,3.419,17.8,16.5,35.7,87.8
APU0000708111,2022,M11,2022 Nov,3.589,5,15.2,25.4,108.9
APU0000708111,2022,M12,2022 Dec,4.25,18.4,46.5,57,137.7
APU0000708111,2023,M01,2023 Jan,4.823,13.5,41.1,64.3,150
APU0000708111,2023,M02,2023 Feb,4.211,-12.7,17.3,35.1,110
APU0000708111,2023,M03,2023 Mar,3.446,-18.2,-18.9,18.7,68.4
APU0000708111,2023,M04,2023 Apr,3.27,-5.1,-32.2,-4.4,29.8
APU0000708111,2023,M05,2023 May,2.666,-18.5,-36.7,-25.7,-6.9
APU0000708111,2023,M06,2023 Jun,2.219,-16.8,-35.6,-47.8,-18
APU0000708111,2023,M07,2023 Jul,2.094,-5.6,-36,-56.6,-28.7
APU0000708111,2023,M08,2023 Aug,2.043,-2.4,-23.4,-51.5,-34.4
APU0000708111,2023,M09,2023 Sep,2.065,1.1,-6.9,-40.1,-28.8
APU0000708111,2023,M10,2023 Oct,2.072,0.3,-1.1,-36.6,-39.4
APU0000708111,2023,M11,2023 Nov,2.138,3.2,4.7,-19.8,-40.4
APU0000708111,2023,M12,2023 Dec,2.507,17.3,21.4,13,-41
APU0000708111,2024,M01,2024 Jan,2.522,0.6,21.7,20.4,-47.7
APU0000708111,2024,M02,2024 Feb,2.996,18.8,40.1,46.6,-28.9
APU0000708111,2024,M03,2024 Mar,2.992,-0.1,19.3,44.9,-13.2
APU0000708111,2024,M04,2024 Apr,2.864,-4.3,13.6,38.2,-12.4
APU0000708111,2024,M05,2024 May,2.699,-5.8,-9.9,26.2,1.2
APU0000708111,2024,M06,2024 Jun,2.715,0.6,-9.3,8.3,22.4
APU0000708111,2024,M07,2024 Jul,3.08,13.4,7.5,22.1,47.1
APU0000708111,2024,M08,2024 Aug,3.204,4,18.7,6.9,56.8
APU0000708111,2024,M09,2024 Sep,3.821,19.3,40.7,27.7,85
APU0000708111,2024,M10,2024 Oct,3.37,-11.8,9.4,17.7,62.6
APU0000708111,2024,M11,2024 Nov,3.649,8.3,13.9,35.2,70.7
APU0000708111,2024,M12,2024 Dec,4.146,13.6,8.5,52.7,65.4
APU0000708111,2025,M01,2025 Jan,4.953,19.5,47,60.8,96.4
APU0000708111,2025,M02,2025 Feb,5.897,19.1,61.6,84.1,96.8
APU0000708111,2025,M03,2025 Mar,6.227,5.6,50.2,63,108.1
APU0000708111,2025,M04,2025 Apr,5.122,-17.7,3.4,52,78.8
APU0000708111,2025,M05,2025 May,4.548,-11.2,-22.9,24.6,68.5
APU0000708111,2025,M06,2025 Jun,3.775,-17,-39.4,-8.9,39
APU0000708111,2025,M07,2025 Jul,3.599,-4.7,-29.7,-27.3,16.9
APU0000708111,2025,M08,2025 Aug,3.587,-0.3,-21.1,-39.2,12
APU0000708111,2025,M09,2025 Sep,3.488,-2.8,-7.6,-44,-8.7
APU0000708111,2025,M11,2025 Nov,2.86,,-20.3,-37.1,-21.6
APU0000708111,2025,M12,2025 Dec,2.712,-5.2,-22.2,-28.2,-34.6
APU0000708111,2026,M01,2026 Jan,2.577,-5,,-28.4,-48
APU0000708111,2026,M02,2026 Feb,2.5,-3,-12.6,-30.3,-57.6
APU0000708111,2026,M03,2026 Mar,2.348,-6.1,-13.4,-32.7,-62.3
