date,year,month,item_clean,value,series_id,series_title,item_name
1995-01-01,1995,1,Bread,0.767,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-02-01,1995,2,Bread,0.767,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-03-01,1995,3,Bread,0.775,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-04-01,1995,4,Bread,0.776,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-05-01,1995,5,Bread,0.768,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-06-01,1995,6,Bread,0.781,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-07-01,1995,7,Bread,0.789,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-08-01,1995,8,Bread,0.797,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-09-01,1995,9,Bread,0.808,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-10-01,1995,10,Bread,0.809,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
1995-11-01,1995,11,Bread,0.821,APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted","Bread, white, pan, per lb. (453.6 gm)"
